ABW AW 533 Аруба
AFG AF 004 Афганистан
AGO AO 024 Ангола
AIA AI 660 Ангилья
ALA AX 248 Аландские Острова
ALB AL 008 Албания
AND AD 020 Андорра
ANT AN 532 Антильские Острова (Нидерландские)
ARE AE 784 Объединенные Арабские Эмираты
ARG AR 032 Аргентина
ARM AM 051 Армения
ASM AS 016 Восточное Самоа
ATA AQ 010 Антарктика
ATF TF 260 Французские Южные территории
ATG AG 028 Антигуа и Барбуда
AUS AU 036 Австралия
AUT AT 040 Австрия
AZE AZ 031 Азербайджан
BDI BI 108 Бурунди
BEL BE 056 Бельгия
BEN BJ 204 Бенин
BFA BF 854 Буркина Фасо
BGD BD 050 Бангладеш
BGR BG 100 Болгария
BHR BH 048 Бахрейн
BHS BS 044 Багамские Острова
BIH BA 070 Босния и Герцеговина
BLM BL 652 Сент-Бартельми
BLR BY 112 Беларусь
BLZ BZ 084 Белиз
BMU BM 060 Бермудские Острова
BOL BO 068 Боливия
BRA BR 076 Бразилия
BRB BB 052 Барбадос
BRN BN 096 Бруней
BTN BT 064 Бутан
BVT BV 074 Буве, остров
BWA BW 072 Ботсвана
CAF CF 140 Центральноафриканская Республика
CAN CA 124 Канада
CCK CC 166 Кокосовые (Килинг) острова
CHE CH 756 Швейцария
CHL CL 152 Чили
CHN CN 156 Китай
CIV CI 384 Кот-д'Ивуар
CMR CM 120 Камерун
COD CD 180 Конго, Демократическая Республика 
COG CG 178 Конго
COK CK 184 Кука, Острова
COL CO 170 Колумбия
COM KM 174 Коморские Острова
CPV CV 132 Кабо-Верде
CRI CR 188 Коста-Рика
CUB CU 192 Куба
CXR CX 162 Рождества (Кристмас), Остров
CYM KY 136 Каймановы острова
CYP CY 196 Кипр
CZE CZ 203 Чешская Республика
DEU DE 276 Германия
DJI DJ 262 Джибути
DMA DM 212 Доминика
DNK DK 208 Дания
DOM DO 214 Доминиканская Республика
DZA DZ 012 Алжир
ECU EC 218 Эквадор
EGY EG 818 Египет
ERI ER 232 Эритрея
ESH EH 732 Западная Сахара
ESP ES 724 Испания
EST EE 233 Эстония
ETH ET 231 Эфиопия
FIN FI 246 Финляндия
FJI FJ 242 Фиджи
FLK FK 238 Фолклендские (Мальвинские) Острова
FRA FR 250 Франция
FRO FO 234 Фарерские острова
FSM FM 583 Микронезия (Федеративные Штаты Микронезии)
FXX FX 249 Франция, Метрополия
GAB GA 266 Габон
GBR GB 826 Великобритания
GEO GE 268 Грузия
GHA GH 288 Гана
GIB GI 292 Гибралтар
GIN GN 324 Гвинея
GLP GP 312 Гваделупа
GMB GM 270 Гамбия
GNB GW 624 Гвинея-Бисау
GNQ GQ 226 Экваториальная Гвинея
GRC GR 300 Греция
GRD GD 308 Гренада
GRL GL 304 Гренландия
GTM GT 320 Гватемала
GUF GF 254 Гвиана Французская
GUM GU 316 Гуам
GUY GY 328 Гайана
HKG HK 344 Сянган (Гонгонг)
HMD HM 334 Херд и Макдональд, острова
HND HN 340 Гондурас
HRV HR 191 Хорватия
HTI HT 332 Гаити
HUN HU 348 Венгрия
IDN ID 360 Индонезия
IMN IM 833 Мэн, Остров
IND IN 356 Индия
IOT IO 086 Британская территория в Индийском океане
IRL IE 372 Ирландия
IRN IR 364 Иран
IRQ IQ 368 Ирак
ISL IS 352 Исландия
ISR IL 376 Израиль
ITA IT 380 Италия
JAM JM 388 Ямайка
JEY JE 832 Джерси
JOR JO 400 Иордания
JPN JP 392 Япония
KAZ KZ 398 Казахстан
KEN KE 404 Кения
KGZ KG 417 Киргизия (Кыргызстан)
KHM KH 116 Камбоджа
KIR KI 296 Кирибати
KNA KN 659 Сент-Китс и Невис
KOR KR 410 Корея, Республика
KWT KW 414 Кувейт
LAO LA 418 Лаос
LBN LB 422 Ливан
LBR LR 430 Либерия
LBY LY 434 Ливия
LCA LC 662 Сент-Люсия
LIE LI 438 Лихтенштейн
LKA LK 144 Шри-Ланка
LSO LS 426 Лесото
LTU LT 440 Литва
LUX LU 442 Люксембург
LVA LV 428 Латвия
